==============================================================================
ARM A: JOINT self-play under the V2V prior (W5 said: fails)
==============================================================================
  updates=120
      steps   mean_ret  collision%
      2,240    -1000.0      100.0%
     77,968        0.0        0.0%
    137,040        0.0        0.0%
    196,112        0.0        0.0%
    255,184     -130.0       13.0%
    314,256     -260.0       26.0%
    373,328     -150.0       15.0%
    432,400     -390.0       39.0%
    491,472     -370.0       37.0%
  collision first=100.0%  last=37.0%
  => joint verdict under V2V: DIFFERENT from W5!
