d,v,behavior,core,policy,mean_settled_obscm,std,se,whole_mean,reasons
0.2,0.3,constant,1,RL,0.6165,0.0835,0.0083,4.7733,"{"timeout": 100}"
0.2,0.3,constant,1,P+FF,2.0893,0.0964,0.0096,8.8367,"{"timeout": 100}"
0.2,0.3,constant,1,P,52.5027,27.4362,2.7436,61.6716,"{"collision": 100}"
0.2,0.55,constant,1,RL,2.8448,0.1264,0.0126,7.7087,"{"timeout": 100}"
0.2,0.55,constant,1,P+FF,2.6730,0.0553,0.0055,10.2743,"{"timeout": 100}"
0.2,0.55,constant,1,P,55.8793,28.2391,2.8239,64.4948,"{"collision": 100}"
0.2,1.0,constant,1,RL,7.4224,0.1196,0.0120,15.7975,"{"timeout": 100}"
0.2,1.0,constant,1,P+FF,3.2997,0.4619,0.0462,13.2626,"{"timeout": 100}"
0.2,1.0,constant,1,P,25.8877,9.5514,0.9551,35.6262,"{"collision": 71, "timeout": 29}"
0.5,0.3,constant,1,RL,0.5302,0.0779,0.0078,2.5112,"{"timeout": 100}"
0.5,0.3,constant,1,P+FF,3.5232,0.1088,0.0109,6.6336,"{"timeout": 100}"
0.5,0.3,constant,1,P,20.3763,4.0520,0.4052,23.8633,"{"collision": 100}"
0.5,0.55,constant,1,RL,2.7876,0.0953,0.0095,5.0053,"{"timeout": 100}"
0.5,0.55,constant,1,P+FF,4.8088,0.0512,0.0051,8.4463,"{"timeout": 100}"
0.5,0.55,constant,1,P,28.0811,1.4984,0.1498,29.4231,"{"timeout": 99, "collision": 1}"
0.5,1.0,constant,1,RL,7.9728,0.1610,0.0161,11.1856,"{"timeout": 100}"
0.5,1.0,constant,1,P+FF,5.7307,0.1203,0.0120,10.2323,"{"timeout": 100}"
0.5,1.0,constant,1,P,29.0396,1.6731,0.1673,29.8374,"{"timeout": 100}"
0.5,1.0,sinusoid,0,RL,6.8462,0.3562,0.0356,9.7318,"{"timeout": 100}"
0.5,1.0,sinusoid,0,P+FF,5.7384,0.1639,0.0164,10.0557,"{"timeout": 100}"
0.5,1.0,sinusoid,0,P,34.4361,3.9515,0.3952,34.3377,"{"timeout": 99, "collision": 1}"
0.5,1.0,brake,0,RL,7.2367,1.1455,0.1145,8.7759,"{"timeout": 100}"
0.5,1.0,brake,0,P+FF,5.5453,0.3294,0.0329,8.6592,"{"timeout": 100}"
0.5,1.0,brake,0,P,31.0298,6.1790,0.6179,33.2208,"{"collision": 48, "timeout": 52}"
1.0,0.3,constant,1,RL,0.6039,0.0749,0.0075,3.7591,"{"timeout": 100}"
1.0,0.3,constant,1,P+FF,2.1824,0.0944,0.0094,6.6684,"{"timeout": 100}"
1.0,0.3,constant,1,P,16.2592,1.8489,0.1849,18.9037,"{"timeout": 100}"
1.0,0.55,constant,1,RL,2.7749,0.1139,0.0114,4.7729,"{"timeout": 100}"
1.0,0.55,constant,1,P+FF,3.7374,0.0357,0.0036,7.6309,"{"timeout": 100}"
1.0,0.55,constant,1,P,30.7265,0.5995,0.0600,30.9012,"{"timeout": 100}"
1.0,1.0,constant,1,RL,7.6534,0.1080,0.0108,9.6964,"{"timeout": 100}"
1.0,1.0,constant,1,P+FF,6.2054,0.0723,0.0072,10.6698,"{"timeout": 100}"
1.0,1.0,constant,1,P,32.1564,1.0994,0.1099,36.3365,"{"timeout": 100}"
