================================================================================
ADVERSARIAL LEADER SEARCH vs COMPETENT (P+FF) and WEAK (v1 RL)
================================================================================
           leader script  d_des  P+FF coll  v1 RL coll
       brake p=1.0 d=0.5   0.20      20/20        1/20
       brake p=1.0 d=1.0   0.20       0/20        0/20
       brake p=1.0 d=2.0   0.20       0/20        0/20
       brake p=2.0 d=0.5   0.20       0/20       14/20
       brake p=2.0 d=1.0   0.20       0/20        0/20
       brake p=2.0 d=2.0   0.20       0/20        0/20
       brake p=4.0 d=0.5   0.20       0/20       13/20
       brake p=4.0 d=1.0   0.20       0/20        0/20
       brake p=4.0 d=2.0   0.20       0/20        0/20
       brake p=8.0 d=0.5   0.20       0/20        0/20
       brake p=8.0 d=1.0   0.20       0/20       20/20
       brake p=8.0 d=2.0   0.20       0/20        0/20
              crawl 0.05   0.20       0/20        0/20
              crawl 0.15   0.20       0/20        0/20
               osc f=0.5   0.20       0/20       20/20
               osc f=1.0   0.20       0/20       16/20
               osc f=2.0   0.20       0/20        0/20
          bang-bang 0.2s   0.20      20/20        0/20
         bang-bang 0.05s   0.20      20/20        0/20
       brake p=1.0 d=0.5   0.50       0/20        0/20
       brake p=1.0 d=1.0   0.50       0/20        0/20
       brake p=1.0 d=2.0   0.50       0/20        0/20
       brake p=2.0 d=0.5   0.50       0/20        0/20
       brake p=2.0 d=1.0   0.50       0/20        0/20
       brake p=2.0 d=2.0   0.50       0/20        0/20
       brake p=4.0 d=0.5   0.50       0/20        0/20
       brake p=4.0 d=1.0   0.50       0/20        0/20
       brake p=4.0 d=2.0   0.50       0/20        0/20
       brake p=8.0 d=0.5   0.50       0/20        0/20
       brake p=8.0 d=1.0   0.50       0/20        0/20
       brake p=8.0 d=2.0   0.50       0/20        0/20
              crawl 0.05   0.50       0/20        0/20
              crawl 0.15   0.50       0/20        0/20
               osc f=0.5   0.50       0/20        0/20
               osc f=1.0   0.50       0/20        0/20
               osc f=2.0   0.50       0/20        0/20
          bang-bang 0.2s   0.50      15/20        0/20
         bang-bang 0.05s   0.50       0/20        0/20

  worst P+FF crash rate over the whole search: 20/20

[exited with code 0]
