================================================================================================
D1: MINIMAL DESIGN (P+FF + emergency brake only), d=0.20
================================================================================================
  margin=0.02  coll  20/140   nom_err 2.54   max_err 47.03
  margin=0.05  coll  13/140   nom_err 2.50   max_err 38.90
  margin=0.10  coll   0/140   nom_err 5.11   max_err 10.83

================================================================================================
D2: CONSERVATIVE GRID around v3's working point, d=0.20
================================================================================================
   margin  safety   yth    yg  ymax  coll/140  nom_err
     0.05    0.60  0.20  0.25  0.06         0     2.24
     0.05    0.60  0.20  0.25  0.12         0     2.24
     0.05    0.60  0.40  0.25  0.06         0     2.24
     0.05    0.60  0.40  0.25  0.12         0     2.24
     0.05    0.70  0.20  0.25  0.06         0     2.36
     0.05    0.70  0.20  0.25  0.12         0     2.36
     0.05    0.70  0.40  0.25  0.06         0     2.36
     0.05    0.70  0.40  0.25  0.12         0     2.36
     0.05    0.80  0.20  0.25  0.06         0     2.40
     0.05    0.80  0.20  0.25  0.12         0     2.40
     0.05    0.80  0.40  0.25  0.06         0     2.40
     0.05    0.80  0.40  0.25  0.12         0     2.40
     0.08    0.60  0.20  0.25  0.06         0     2.34
     0.08    0.60  0.20  0.25  0.12         0     2.34
     0.08    0.60  0.40  0.25  0.06         0     2.34
     0.08    0.60  0.40  0.25  0.12         0     2.34
     0.08    0.70  0.20  0.25  0.06         0     2.35
     0.08    0.70  0.20  0.25  0.12         0     2.35
     0.08    0.70  0.40  0.25  0.06         0     2.35
     0.08    0.70  0.40  0.25  0.12         0     2.35
     0.08    0.80  0.20  0.25  0.06         0     2.31
     0.08    0.80  0.20  0.25  0.12         0     2.31
     0.08    0.80  0.40  0.25  0.06         0     2.31
     0.08    0.80  0.40  0.25  0.12         0     2.31
     0.12    0.60  0.20  0.25  0.06         0     8.87
     0.12    0.60  0.20  0.25  0.12         0     8.87
     0.12    0.60  0.40  0.25  0.06         0     8.87
     0.12    0.60  0.40  0.25  0.12         0     8.87
     0.12    0.70  0.20  0.25  0.06         0     8.86
     0.12    0.70  0.20  0.25  0.12         0     8.86
     0.12    0.70  0.40  0.25  0.06         0     8.86
     0.12    0.70  0.40  0.25  0.12         0     8.86
     0.12    0.80  0.20  0.25  0.06         0     8.84
     0.12    0.80  0.20  0.25  0.12         0     8.84
     0.12    0.80  0.40  0.25  0.06         0     8.84
     0.12    0.80  0.40  0.25  0.12         0     8.84
