policy,eps_pct,tau,a_max,n_seeds,collision_free,n_collision,n_lost,n_offtrack,mean_abs_e_cm,n_complete
RL(PPO),0,0.1200,1.5000,20,20,0,0,0,1.233,20
RL(PPO),10,0.1320,1.3500,20,20,0,0,0,1.221,20
RL(PPO),20,0.1440,1.2000,20,20,0,0,0,1.275,20
RL(PPO),30,0.1560,1.0500,20,20,0,0,0,1.331,20
RL(PPO),33,0.1596,1.0050,20,19,1,0,0,1.312,19
RL(PPO),40,0.1680,0.9000,20,18,2,0,0,1.391,18
RL(PPO),50,0.1800,0.7500,20,11,9,0,0,1.514,11
rule P+FF,0,0.1200,1.5000,20,20,0,0,0,2.087,20
rule P+FF,10,0.1320,1.3500,20,20,0,0,0,2.086,20
rule P+FF,20,0.1440,1.2000,20,20,0,0,0,2.100,20
rule P+FF,30,0.1560,1.0500,20,20,0,0,0,2.128,20
rule P+FF,33,0.1596,1.0050,20,20,0,0,0,2.144,20
rule P+FF,40,0.1680,0.9000,20,20,0,0,0,2.186,20
rule P+FF,50,0.1800,0.7500,20,20,0,0,0,2.301,20
